idx,reduced_embeddings
240,"[0.0, 4.120919704437256, 0.0, 0.0, 2.225675344467163, 2.7975544929504395, 1.8050243854522705, 0.0, 2.866727590560913, 1.3169236183166504, 0.0, 0.0, 0.07382127642631531, 0.0, 1.3779168128967285, 1.5158289670944214, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8455610275268555, 0.0, 0.0, 0.0, 0.0, 0.8502716422080994, 0.0, 0.0, 0.0, 2.647597074508667, 0.0, 3.17974591255188, 0.0, 3.6815025806427, 0.0, 3.7212581634521484, 0.0, 0.0, 0.0, 3.00850248336792, 4.875667572021484, 0.0, 2.361842155456543, 0.0, 0.0, 0.3288140594959259, 0.0, 0.570051908493042, 0.0, 0.0, 2.255329132080078, 0.0, 0.0, 0.0, 0.0, 0.0, 4.035334587097168, 0.0, 0.0, 0.0, 0.11289705336093903, 1.4440007209777832, 0.8345581293106079]"
79,"[0.0, 4.364241600036621, 0.0, 0.0, 2.3304901123046875, 2.9704017639160156, 1.937456727027893, 0.0, 3.0529897212982178, 1.4484305381774902, 0.0, 0.0, 0.11118681728839874, 0.0, 1.624377727508545, 1.612440586090088, 0.0, 0.0, 0.0, 0.0, 0.0, 1.799116611480713, 0.0, 0.0, 0.0, 0.0, 0.8476958274841309, 0.0, 0.0, 0.0, 2.662806510925293, 0.0, 3.421792507171631, 0.0, 4.066100120544434, 0.0, 3.7985618114471436, 0.0, 0.0, 0.0, 3.0530178546905518, 4.981204032897949, 0.0, 2.526792526245117, 0.0, 0.0, 0.38265854120254517, 0.0, 0.75135737657547, 0.0, 0.0, 2.4063429832458496, 0.0, 0.0, 0.0, 0.0, 0.0, 4.273468017578125, 0.0, 0.0, 0.0, 0.138125941157341, 1.6858220100402832, 0.8172527551651001]"
373,"[0.0, 4.0197553634643555, 0.0, 0.0, 2.2054126262664795, 2.670332908630371, 1.8222392797470093, 0.0, 2.8058786392211914, 1.2707462310791016, 0.0, 0.0, 0.07251830399036407, 0.0, 1.4342927932739258, 1.4998743534088135, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7479352951049805, 0.0, 0.0, 0.0, 0.0, 0.7874844670295715, 0.0, 0.0, 0.0, 2.439019203186035, 0.0, 3.1400675773620605, 0.0, 3.6807079315185547, 0.0, 3.595669984817505, 0.0, 0.0, 0.0, 2.8577680587768555, 4.695674896240234, 0.0, 2.3231453895568848, 0.0, 0.0, 0.3545064926147461, 0.0, 0.605859100818634, 0.0, 0.0, 2.2130608558654785, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8576111793518066, 0.0, 0.0, 0.0, 0.10935638099908829, 1.4588046073913574, 0.7843016386032104]"
69,"[0.0, 4.192833423614502, 0.0, 0.0, 2.3241498470306396, 2.7728686332702637, 1.9041132926940918, 0.0, 2.9226465225219727, 1.3586969375610352, 0.0, 0.0, 0.12824030220508575, 0.0, 1.5336322784423828, 1.5799851417541504, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8661997318267822, 0.0, 0.0, 0.0, 0.0, 0.7984755039215088, 0.0, 0.0, 0.0, 2.598245859146118, 0.0, 3.254749298095703, 0.0, 3.8720550537109375, 0.0, 3.7506837844848633, 0.0, 0.0, 0.0, 2.9733834266662598, 4.885605335235596, 0.0, 2.3675482273101807, 0.0, 0.0, 0.34359094500541687, 0.0, 0.7669709920883179, 0.0, 0.0, 2.3171184062957764, 0.0, 0.0, 0.0, 0.0, 0.0, 4.025573253631592, 0.0, 0.0, 0.0, 0.14556542038917542, 1.531299114227295, 0.8484110832214355]"
699,"[0.0, 4.118558406829834, 0.0, 0.0, 2.2174346446990967, 2.6885831356048584, 1.8263777494430542, 0.0, 2.864809513092041, 1.2903316020965576, 0.0, 0.0, 0.11814486980438232, 0.0, 1.4376609325408936, 1.5433152914047241, 0.0, 0.0, 0.0, 0.0, 0.0, 1.820085883140564, 0.0, 0.0, 0.0, 0.0, 0.7798765301704407, 0.0, 0.0, 0.0, 2.5722603797912598, 0.0, 3.1486802101135254, 0.0, 3.7010841369628906, 0.0, 3.750023603439331, 0.0, 0.0, 0.0, 2.932570457458496, 4.855088233947754, 0.0, 2.331202507019043, 0.0, 0.0, 0.28798723220825195, 0.0, 0.660859227180481, 0.0, 0.0, 2.3067033290863037, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9687767028808594, 0.0, 0.0, 0.0, 0.1351272314786911, 1.4374300241470337, 0.8754875063896179]"
367,"[0.0, 4.284317970275879, 0.0, 0.0, 2.374328374862671, 2.7759275436401367, 2.0234503746032715, 0.0, 2.9065017700195312, 1.4890323877334595, 0.0, 0.0, 0.1423317939043045, 0.0, 1.6505975723266602, 1.6931217908859253, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8772374391555786, 0.0, 0.0, 0.0, 0.0, 0.7331434488296509, 0.0, 0.0, 0.0, 2.6109209060668945, 0.0, 3.51292085647583, 0.0, 4.0835466384887695, 0.0, 3.7590126991271973, 0.0, 0.0, 0.0, 2.9836137294769287, 4.868493556976318, 0.0, 2.5377426147460938, 0.0, 0.0, 0.4256044626235962, 0.0, 0.7630394697189331, 0.0, 0.0, 2.348680019378662, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0785136222839355, 0.0, 0.0, 0.0, 0.14245852828025818, 1.623547077178955, 0.7746552228927612]"
571,"[0.0, 4.300465106964111, 0.0, 0.0, 2.298625946044922, 2.849437713623047, 1.929032802581787, 0.0, 3.057292938232422, 1.3840131759643555, 0.0, 0.0, 0.05586498975753784, 0.0, 1.5718810558319092, 1.615336537361145, 0.0, 0.0, 0.0, 0.0, 0.0, 1.943516731262207, 0.0, 0.0, 0.0, 0.0, 0.8115833401679993, 0.0, 0.0, 0.0, 2.6361424922943115, 0.0, 3.333916187286377, 0.0, 3.994490623474121, 0.0, 3.832103729248047, 0.0, 0.0, 0.0, 3.1269845962524414, 4.9653191566467285, 0.0, 2.5132994651794434, 0.0, 0.0, 0.3777080178260803, 0.0, 0.8031814098358154, 0.0, 0.0, 2.432583808898926, 0.0, 0.0, 0.0, 0.0, 0.0, 4.231817245483398, 0.0, 0.0, 0.0, 0.16822578012943268, 1.6112910509109497, 0.858879804611206]"
127,"[0.0, 4.365265846252441, 0.0, 0.0, 2.362091541290283, 2.9905447959899902, 1.9840919971466064, 0.0, 3.0466389656066895, 1.4680050611495972, 0.0, 0.0, 0.049173980951309204, 0.0, 1.61207914352417, 1.6497077941894531, 0.0, 0.0, 0.0, 0.0, 0.0, 1.863248586654663, 0.0, 0.0, 0.0, 0.0, 0.8321965336799622, 0.0, 0.0, 0.0, 2.6751315593719482, 0.0, 3.5082998275756836, 0.0, 4.10524845123291, 0.0, 3.839660167694092, 0.0, 0.0, 0.0, 3.176879405975342, 4.999263763427734, 0.0, 2.6234054565429688, 0.0, 0.0, 0.4200214743614197, 0.0, 0.7118616104125977, 0.0, 0.0, 2.4325077533721924, 0.0, 0.0, 0.0, 0.0, 0.0, 4.301341533660889, 0.0, 0.0, 0.0, 0.16473126411437988, 1.6665914058685303, 0.7779182195663452]"
151,"[0.0, 4.219282627105713, 0.0, 0.0, 2.3211510181427, 2.8474183082580566, 1.927172303199768, 0.0, 2.969940185546875, 1.3622877597808838, 0.0, 0.0, 0.026710331439971924, 0.0, 1.4888843297958374, 1.6315200328826904, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94146728515625, 0.0, 0.0, 0.0, 0.0, 0.8239064812660217, 0.0, 0.0, 0.0, 2.6226305961608887, 0.0, 3.3680551052093506, 0.0, 3.9354300498962402, 0.0, 3.8222737312316895, 0.0, 0.0, 0.0, 3.1644458770751953, 4.938089370727539, 0.0, 2.5592236518859863, 0.0, 0.0, 0.39716553688049316, 0.0, 0.6310341358184814, 0.0, 0.0, 2.371382713317871, 0.0, 0.0, 0.0, 0.0, 0.0, 4.160918235778809, 0.0, 0.0, 0.0, 0.16382551193237305, 1.5407425165176392, 0.7939381003379822]"
40,"[0.0, 4.227488040924072, 0.0, 0.0, 2.3473262786865234, 2.7139673233032227, 1.9861623048782349, 0.0, 2.911729335784912, 1.398672103881836, 0.0, 0.0, 0.11737868189811707, 0.0, 1.5831325054168701, 1.653168797492981, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8233847618103027, 0.0, 0.0, 0.0, 0.0, 0.7363160252571106, 0.0, 0.0, 0.0, 2.519986152648926, 0.0, 3.4267220497131348, 0.0, 4.019713401794434, 0.0, 3.7521047592163086, 0.0, 0.0, 0.0, 2.926668643951416, 4.8749775886535645, 0.0, 2.4948277473449707, 0.0, 0.0, 0.3395175039768219, 0.0, 0.7593304514884949, 0.0, 0.0, 2.3123345375061035, 0.0, 0.0, 0.0, 0.0, 0.0, 4.028830051422119, 0.0, 0.0, 0.0, 0.10813512653112411, 1.563704013824463, 0.7757460474967957]"
